model,policy,pressure,workload,trace,requests,ok,failed,prompt_tokens,cached_tokens,hit_rate,completion_tokens,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,wall_sec,requests_per_sec,tokens_per_sec
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w1,/root/kv-cache/traces/w1_main_seed20260708.jsonl,200,200,0,58144,38199,0.6569723445239406,200,41.03710316121578,116.96973368525505,121.45517781376832,41.03710316121578,116.96973368525505,121.45517781376832,12.577997207641602,15.900782668205123,4638.576319968798
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w2,/root/kv-cache/traces/w2_main_seed20260708.jsonl,200,200,0,61028,3105,0.05087828537720391,9600,1034.4098936766386,1036.1368842422962,1037.2398971021173,1034.4098936766386,1036.1368842422962,1037.2398971021173,206.65468907356262,0.9677980252788082,341.7681946469583
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w3,/root/kv-cache/traces/w3_main_seed20260708.jsonl,200,200,0,56359,33422,0.5930197483986586,6400,645.8973363041878,726.1615891009569,739.8524756729603,645.8973363041878,726.1615891009569,739.8524756729603,133.49785494804382,1.4981514128286049,470.112422588552
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,2q,medium,w4,/root/kv-cache/traces/w4_main_seed20260708.jsonl,200,197,3,55696,33039,0.5932023843723068,6304,645.8339430391788,726.1971279978752,741.2756940722466,645.8339430391788,726.1971279978752,741.2756940722466,133.66747307777405,1.4738065698704135,463.8376006698763
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,medium,w1,/root/kv-cache/traces/w1_main_seed20260708.jsonl,200,200,0,58144,38199,0.6569723445239406,200,40.99830612540245,117.36917831003666,119.85244903713465,40.99830612540245,117.36917831003666,119.85244903713465,12.592740297317505,15.88216665141612,4633.14565555111
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,medium,w2,/root/kv-cache/traces/w2_main_seed20260708.jsonl,200,200,0,61028,3105,0.05087828537720391,9600,1033.6866155266762,1037.0455764234066,1038.137140199542,1033.6866155266762,1037.0455764234066,1038.137140199542,206.66718220710754,0.9677395214087442,341.7475345902839
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,lru,medium,w3,/root/kv-cache/traces/w3_main_seed20260708.jsonl,200,200,0,56359,33422,0.5930197483986586,6400,646.4372426271439,726.6009341925383,742.2221466898918,646.4372426271439,726.6009341925383,742.2221466898918,133.58887028694153,1.4971307083472674,469.7921306258308
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,medium,w1,/root/kv-cache/traces/w1_main_seed20260708.jsonl,200,200,0,58144,38199,0.6569723445239406,200,40.941815823316574,116.99805073440075,117.98567216843358,40.941815823316574,116.99805073440075,117.98567216843358,12.56322979927063,15.919473192443808,4644.028719699708
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,medium,w2,/root/kv-cache/traces/w2_main_seed20260708.jsonl,200,200,0,61028,3105,0.05087828537720391,9600,1034.8314214497805,1036.7814365774393,1037.2743326425552,1034.8314214497805,1036.7814365774393,1037.2743326425552,206.78103351593018,0.967206694924427,341.55937224561217
/root/autodl-tmp/models/Qwen2.5-7B-Instruct,slru,medium,w3,/root/kv-cache/traces/w3_main_seed20260708.jsonl,200,200,0,56359,33422,0.5930197483986586,6400,645.9495630115271,725.118762627244,740.8180190622807,645.9495630115271,725.118762627244,740.8180190622807,133.49949479103088,1.498133010263923,470.1066479557677
